target sensor1 sensor2 sensor3 sensor4 sensor5 sensor6 sensor7 sensor8 sensor9 sensor10 sensor11 sensor12 sensor13 sensor14 sensor15 sensor16
轻微漏液 1699 3359 4980 1894 1503 2539 3339 2011 2343 1972 1699 1816 2773 2792 2167 2773
轻微漏液 1699 3339 4980 1894 1503 2539 3339 1992 2343 1972 1679 1816 2753 2773 2148 2753
轻微漏液 1699 3359 4980 1894 1503 2539 3339 1992 2343 1972 1679 1816 2753 2773 2148 2753
轻微漏液 1699 3359 4980 1894 1503 2539 3339 1992 2343 1972 1679 1816 2753 2773 2148 2753
轻微漏液 1699 3339 4980 1875 1503 2539 3320 1992 2343 1972 1679 1816 2753 2753 2148 2753
轻微漏液 1699 3339 4980 1894 1503 2539 3339 1992 2343 1972 1679 1816 2753 2753 2148 2753
轻微漏液 1699 3339 4980 1875 1484 2539 3320 1992 2343 1972 1679 1816 2753 2753 2128 2753
轻微漏液 1699 3339 4980 1875 1503 2519 3339 1992 2343 1953 1679 1796 2734 2753 2128 2753
轻微漏液 1699 3339 4980 1875 1503 2539 3320 1992 2343 1953 1679 1796 2734 2734 2109 2753
轻微漏液 1699 3339 4980 1875 1484 2519 3339 1972 2324 1953 1679 1796 2734 2734 2109 2734
轻微漏液 1699 3339 4980 1875 1503 2519 3320 1972 2324 1953 1679 1796 2734 2734 2109 2734
轻微漏液 1699 3339 4980 1875 1484 2519 3320 1972 2324 1953 1679 1796 2734 2734 2109 2734
轻微漏液 1699 3339 4980 1875 1503 2519 3339 1972 2343 1953 1660 1796 2734 2734 2089 2734
轻微漏液 1679 3339 4980 1875 1484 2539 3339 1972 2324 1953 1660 1796 2714 2714 2089 2734
轻微漏液 1679 3339 4980 1875 1484 2519 3320 1972 2343 1953 1660 1796 2714 2714 2089 2734
轻微漏液 1679 3339 4980 1875 1484 2539 3339 1972 2343 1953 1660 1796 2714 2714 2089 2734
轻微漏液 1699 3339 4980 1875 1484 2539 3339 1972 2324 1953 1660 1796 2714 2714 2070 2734
轻微漏液 1679 3339 4980 1875 1484 2539 3339 1972 2324 1953 1660 1796 2714 2714 2070 2734
轻微漏液 1679 3339 4980 1875 1484 2519 3320 1972 2324 1953 1660 1796 2714 2714 2070 2734
轻微漏液 1679 3339 4980 1875 1484 2539 3339 1972 2324 1953 1660 1796 2695 2714 2070 2734
轻微漏液 1699 3359 4980 1894 1503 2539 3339 1972 2343 1972 1679 1796 2714 2714 2070 2734
轻微漏液 1699 3359 4980 1894 1503 2539 3339 1972 2343 1972 1679 1816 2695 2714 2070 2734
轻微漏液 1699 3339 4980 1894 1503 2539 3339 1972 2343 1972 1679 1796 2695 2695 2070 2734
轻微漏液 1699 3339 4980 1875 1503 2539 3339 1972 2343 1972 1679 1796 2695 2695 2050 2734
轻微漏液 1699 3339 4980 1894 1503 2539 3339 1972 2343 1972 1679 1796 2695 2695 2050 2734
轻微漏液 1699 3339 4980 1894 1503 2539 3339 1953 2343 1953 1660 1796 2675 2695 2050 2734
轻微漏液 1699 3339 4980 1894 1503 2539 3339 1972 2343 1953 1679 1796 2675 2695 2050 2734
轻微漏液 1699 3339 4980 1894 1503 2539 3339 1972 2343 1953 1660 1796 2675 2695 2050 2734
轻微漏液 1699 3339 4980 1875 1503 2539 3339 1953 2343 1972 1679 1796 2675 2695 2050 2734
轻微漏液 1718 3261 4980 1855 1484 2519 3300 1953 2343 1992 1718 1816 2812 2792 2207 2734
轻微漏液 1718 3261 4980 1855 1484 2519 3300 1953 2343 1992 1718 1816 2792 2792 2207 2734
轻微漏液 1699 3261 4980 1855 1464 2519 3300 1933 2324 1972 1699 1796 2792 2773 2187 2734
轻微漏液 1699 3261 4980 1855 1464 2519 3300 1933 2343 1972 1699 1796 2792 2773 2187 2734
轻微漏液 1699 3261 4980 1855 1464 2519 3300 1933 2343 1972 1699 1796 2773 2773 2187 2734
轻微漏液 1699 3261 4980 1855 1464 2500 3281 1933 2324 1972 1699 1796 2773 2773 2187 2734
轻微漏液 1699 3261 4980 1855 1464 2519 3300 1933 2343 1992 1699 1796 2792 2773 2187 2734
轻微漏液 1718 3261 4980 1855 1484 2519 3320 1953 2343 1992 1699 1816 2792 2773 2187 2734
轻微漏液 1718 3281 4980 1855 1484 2539 3320 1953 2343 1992 1699 1816 2792 2792 2187 2734
轻微漏液 1718 3281 4980 1875 1484 2539 3320 1953 2343 1992 1718 1816 2792 2792 2187 2753
轻微漏液 1718 3281 4980 1875 1484 2539 3320 1953 2363 1992 1718 1816 2812 2792 2187 2753
轻微漏液 1718 3281 4980 1875 1484 2539 3320 1953 2363 1992 1718 1816 2812 2792 2187 2753
轻微漏液 1718 3281 4980 1875 1484 2539 3320 1953 2363 1992 1718 1816 2812 2792 2187 2753
轻微漏液 1738 3281 4980 1875 1484 2539 3320 1953 2363 1992 1718 1816 2812 2792 2187 2753
轻微漏液 1718 3281 4980 1875 1484 2539 3320 1953 2363 1992 1718 1816 2812 2792 2187 2753
轻微漏液 1718 3281 4980 1875 1484 2539 3320 1953 2363 1992 1718 1816 2792 2773 2167 2753
轻微漏液 1718 3281 4980 1875 1484 2539 3320 1953 2363 1992 1718 1816 2792 2773 2167 2753
轻微漏液 1718 3281 4980 1875 1484 2539 3320 1953 2363 1992 1718 1816 2792 2773 2167 2753
轻微漏液 1718 3281 4980 1875 1484 2539 3320 1953 2363 1992 1718 1816 2792 2773 2167 2734
轻微漏液 1718 3281 4980 1875 1484 2519 3320 1953 2343 1992 1718 1816 2773 2773 2167 2734
轻微漏液 1718 3281 4980 1875 1484 2519 3320 1933 2343 1992 1699 1816 2773 2753 2167 2734
轻微漏液 1718 3281 4980 1875 1484 2539 3320 1953 2343 1992 1699 1816 2773 2753 2167 2734
轻微漏液 1718 3281 4980 1875 1484 2539 3320 1933 2343 1992 1699 1816 2773 2753 2148 2734
轻微漏液 1718 3261 4980 1875 1484 2539 3320 1933 2343 1992 1699 1816 2773 2753 2148 2734
轻微漏液 1718 3281 4980 1875 1484 2539 3320 1933 2343 1992 1699 1816 2773 2753 2148 2734
轻微漏液 1718 3261 4980 1875 1484 2519 3320 1933 2343 1992 1699 1816 2773 2753 2148 2734
轻微漏液 1718 3281 4980 1875 1484 2519 3320 1933 2343 1992 1699 1816 2773 2753 2148 2734
轻微漏液 1718 3281 4980 1875 1484 2519 3320 1933 2343 1992 1699 1816 2773 2734 2148 2734
轻微漏液 1699 3261 4980 1855 1484 2519 3320 1933 2343 1992 1699 1796 2773 2734 2128 2734
严重漏液 1757 3242 4980 1953 1542 2597 3398 2011 2382 2031 1718 1835 2675 2714 2070 2753
严重漏液 1757 3242 4980 1933 1542 2597 3398 1992 2363 2011 1699 1835 2656 2675 2050 2734
严重漏液 1738 3242 4980 1914 1503 2578 3398 1992 2363 2011 1679 1816 2656 2675 2031 2734
严重漏液 1738 3242 4980 1914 1503 2578 3398 1992 2363 2011 1699 1816 2656 2675 2031 2734
严重漏液 1738 3242 4980 1914 1503 2578 3398 1992 2363 2011 1679 1816 2636 2675 2031 2734
严重漏液 1738 3242 4980 1914 1503 2578 3398 2500 2500 2500 2500 2500 2500 2500 2500 2500
严重漏液 1738 3242 4980 1914 1503 2578 3398 1992 2343 2011 1679 1816 2656 2675 2031 2734
严重漏液 1738 3242 4980 1914 1503 2597 3398 1992 2363 2011 1679 1816 2656 2675 2031 2734
严重漏液 1738 3242 4980 1914 1503 2597 3398 1992 2363 2011 1679 1816 2656 2675 2031 2734
严重漏液 1738 3242 4980 1914 1523 2597 3398 1992 2363 2011 1679 1816 2656 2675 2031 2734
严重漏液 1738 3242 4980 1933 1523 2597 3398 1992 2363 2011 1699 1835 2656 2675 2031 2734
严重漏液 1738 3261 4980 1933 1523 2597 3398 1992 2363 2011 1699 1835 2656 2675 2031 2734
严重漏液 1738 3242 4980 1933 1523 2597 3398 1992 2363 2011 1679 1816 2656 2675 2031 2734
严重漏液 1738 3242 4980 1933 1523 2597 3398 1992 2363 2011 1699 1835 2656 2675 2031 2734
严重漏液 1738 3242 4980 1933 1523 2597 3398 1992 2363 2011 1679 1816 2656 2675 2031 2734
严重漏液 1738 3242 4980 1933 1523 2597 3398 1992 2363 2011 1699 1835 2656 2675 2031 2734
严重漏液 1738 3242 4980 1933 1503 2597 3398 1992 2363 2011 1679 1816 2656 2675 2031 2734
严重漏液 1738 3242 4980 1933 1523 2597 3398 2011 2363 2011 1679 1816 2656 2675 2031 2734
严重漏液 1738 3242 4980 1933 1523 2597 3398 1992 2363 2011 1699 1816 2656 2675 2031 2734
严重漏液 1738 3261 4980 1933 1523 2597 3398 2011 2363 2011 1699 1835 2656 2675 2031 2734
严重漏液 1738 3242 4980 1933 1523 2597 3398 2011 2363 2011 1679 1816 2656 2675 2031 2734
严重漏液 1738 3242 4980 1933 1523 2597 3398 2011 2363 2011 1679 1835 2656 2675 2031 2734
严重漏液 1738 3242 4980 1933 1523 2597 3398 2011 2363 2011 1699 1835 2656 2675 2031 2734
严重漏液 1738 3242 4980 1914 1523 2597 3398 1992 2363 2011 1679 1816 2656 2675 2011 2734
严重漏液 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500
严重漏液 1738 3242 4980 1933 1503 2597 3398 1992 2363 2011 1679 1816 2656 2675 2011 2734
严重漏液 1738 3242 4980 1914 1503 2578 3398 1992 2363 2011 1679 1816 2656 2675 2011 2734
严重漏液 1738 3242 4980 1914 1523 2597 3398 2011 2363 2011 1679 1816 2656 2675 2011 2734
严重漏液 1738 3242 4980 1914 1503 2597 3398 1992 2363 2011 1679 1816 2656 2675 2011 2734
严重漏液 1757 3242 4980 1914 1523 2597 3398 2011 2363 2031 1738 1835 2851 2832 2265 2773
严重漏液 1738 3222 4980 1894 1503 2597 3378 2011 2363 2011 1738 1816 2851 2832 2246 2773
严重漏液 1738 3222 4980 1894 1503 2597 3378 2011 2363 2011 1718 1816 2832 2812 2246 2773
严重漏液 1738 3242 4980 1894 1503 2617 3378 2011 2363 2011 1718 1816 2832 2812 2226 2753
严重漏液 1738 3222 4980 1894 1503 2597 3378 2011 2363 2011 1718 1816 2832 2812 2226 2753
严重漏液 1738 3222 4980 1894 1503 2597 3378 1992 2363 2011 1718 1816 2832 2792 2226 2753
严重漏液 1738 3222 4980 1894 1503 2597 3359 2011 2363 2011 1718 1816 2812 2792 2207 2753
严重漏液 1738 3222 4980 1894 1503 2597 3359 1992 2363 2011 1718 1816 2812 2792 2207 2753
严重漏液 1738 3222 4980 1894 1503 2597 3359 1992 2363 2011 1718 1816 2812 2792 2207 2753
严重漏液 1738 3222 4980 1894 1503 2597 3359 1992 2363 2011 1718 1816 2812 2792 2207 2753
严重漏液 1718 3222 4980 1875 1503 2597 3359 1992 2343 1992 1699 1796 2812 2792 2187 2734
严重漏液 1718 3222 4980 1875 1503 2597 3359 1992 2343 1992 1699 1796 2812 2773 2187 2734
严重漏液 1718 3222 4980 1875 1484 2597 3359 1992 2343 1992 1699 1796 2792 2773 2187 2734
严重漏液 1718 3222 4980 1894 1503 2597 3359 1992 2343 1992 1699 1796 2792 2773 2187 2734
严重漏液 1718 3222 4980 1894 1503 2597 3359 1992 2343 1992 1699 1796 2792 2773 2167 2734
严重漏液 1718 3222 4980 1875 1484 2597 3359 1972 2343 1992 1699 1796 2792 2773 2167 2734
严重漏液 1718 3222 4980 1875 1484 2578 3359 1992 2343 1992 1699 1796 2792 2753 2167 2734
严重漏液 1718 3222 4980 1875 1503 2597 3359 1972 2343 1992 1699 1796 2773 2753 2148 2734
严重漏液 1718 3222 4980 1875 1503 2578 3359 1972 2343 1992 1699 1796 2773 2753 2148 2714
严重漏液 1718 3203 4980 1875 1484 2578 3359 1972 2343 1992 1699 1796 2773 2753 2148 2714
严重漏液 1718 3203 4980 1875 1484 2578 3359 1972 2343 1992 1699 1796 2773 2753 2148 2714
严重漏液 1718 3203 4980 1875 1484 2578 3359 1972 2343 1992 1699 1796 2773 2753 2148 2714
严重漏液 1718 3203 4980 1875 1484 2578 3339 1972 2343 1992 1679 1796 2773 2734 2148 2714
严重漏液 1718 3203 4980 1875 1484 2578 3359 1972 2343 1992 1679 1796 2753 2734 2128 2714
严重漏液 1718 3203 4980 1875 1484 2578 3359 1972 2343 1992 1679 1796 2753 2734 2128 2714
严重漏液 1699 3203 4980 1875 1484 2578 3339 1972 2343 1992 1679 1777 2753 2734 2128 2714
严重漏液 1718 3203 4980 1875 1484 2578 3359 1972 2343 1992 1679 1796 2753 2734 2128 2714
严重漏液 1718 3203 4980 1875 1484 2578 3359 1972 2324 1992 1679 1777 2734 2734 2109 2714
严重漏液 1718 3203 4980 1875 1484 2578 3339 1972 2324 1972 1679 1777 2734 2714 2109 2714
