MQ3 MQ135 TGS2600 TGS2602 TGS2603 TGS2609 TGS2610 SYG9 MQ137 MQ138 TGS2611 TGS2612 TGS2618 TGS2619 TGS2620 SY1B
595 56 361 373 241 342 130 267 265 309 202 74 147 206 229 106
587 56 361 373 241 342 130 267 265 309 202 74 147 206 229 106
587 54 361 373 241 342 130 267 265 306 202 74 147 206 229 106
587 54 360 371 241 342 130 267 265 306 202 75 147 206 229 106
587 54 360 371 237 342 130 267 265 306 202 75 142 206 229 106
587 54 360 371 237 338 130 267 265 306 202 75 142 202 229 106
587 54 360 371 237 338 122 262 265 306 202 75 142 202 222 104
553 54 360 371 237 338 122 262 257 306 202 75 142 202 222 104
553 50 360 371 237 338 122 262 257 300 202 75 142 202 222 104
553 50 359 370 237 338 122 262 257 300 200 76 142 202 222 104
553 50 359 370 232 338 122 262 257 300 200 76 139 202 222 104
553 50 359 370 232 337 122 262 257 300 200 76 139 200 222 104
553 50 359 370 232 337 127 266 257 300 200 76 139 200 226 109
554 50 359 370 232 337 127 266 265 300 200 76 139 200 226 109
554 55 359 370 232 337 127 266 265 305 200 76 139 200 226 109
554 55 356 374 232 337 127 266 265 305 197 81 139 200 226 109
554 55 356 374 238 337 127 266 265 305 197 81 145 200 226 109
554 55 356 374 238 338 127 266 265 305 197 81 145 201 226 109
554 55 356 374 238 338 123 262 265 305 197 81 145 201 222 105
542 55 356 374 238 338 123 262 255 305 197 81 145 201 222 105
542 55 356 374 238 338 123 262 255 305 197 81 145 201 222 105
542 55 352 368 238 338 123 262 255 305 193 75 145 201 222 105
542 55 352 368 240 338 123 262 255 305 193 75 147 201 222 105
542 55 352 368 240 339 123 262 255 305 193 75 147 203 222 105
542 55 352 368 240 339 122 262 255 305 193 75 147 203 220 104
541 55 352 368 240 339 122 262 254 305 193 75 147 203 220 104
541 54 352 368 240 339 122 262 254 303 193 75 147 203 220 104
541 54 356 368 240 339 122 262 254 303 196 75 147 203 220 104
541 54 356 368 241 339 122 262 254 303 196 75 148 203 220 104
541 54 356 368 241 338 122 262 254 303 196 75 148 201 220 104
541 54 356 368 241 338 130 259 254 303 196 75 148 201 228 102
540 54 356 368 241 338 130 259 253 303 196 75 148 201 228 102
